annrainmm,terrkm2,terr.rkm
380,2,0.8
353,2,0.8
307,3,1.1
258,3,1.1
256,18,2.4
202,14,2.1
193,7,1.5
133,10,1.8
131,25,2.8
127,10,1.8
123,5,1.3
123,30,3.1
122,7,1.5
118,64,4.5
118,42,3.6
117,69,4.7
114,42,3.6
111,3,1.1
105,73,4.8
104,14,2.1
103,41,3.6
103,77,4.9
96,12,2.0
96,62,4.4
94,9,1.6
93,58,4.3
93,47,3.9
92,51,4.0
92,70,4.7
90,10,1.8
87,73,4.8
87,5,1.3
86,112,6.0
86,16,2.2
86,85,5.2
84,59,4.3
83,122,6.2
81,54,4.2
81,50,4.0
80,97,5.6
80,79,5.0
79,112,6.0
79,22,2.6
76,41,3.6
74,18,2.4
74,139,6.7
74,75,4.9
73,88,5.3
72,244,8.8
70,91,5.4
69,67,4.6
68,54,4.2
67,89,5.3
67,45,3.8
65,60,4.4
65,76,4.9
64,41,3.6
64,191,7.8
64,160,7.1
64,7,1.5
63,67,4.6
63,46,3.8
62,56,4.2
61,132,6.5
61,42,3.6
59,88,5.3
59,139,6.7
57,310,9.9
57,201,8.0
56,50,4.0
56,18,2.4
56,132,6.5
56,81,5.1
55,177,7.5
55,63,4.5
53,168,7.3
51,402,11.3
51,63,4.5
49,195,7.9
49,54,4.2
47,82,5.1
46,204,8.1
44,78,5.0
42,374,10.9
42,307,9.9
42,144,6.8
41,222,8.4
41,59,4.3
39,298,9.7
37,430,11.7
37,172,7.4
37,68,4.6
36,103,5.7
34,430,11.7
32,378,11.0
32,701,14.9
29,329,10.2
29,240,8.7
27,131,6.5
25,413,11.5
22,333,10.3
20,560,13.4
17,1120,18.9
17,922,17.1
17,836,16.3
17,631,14.2
17,388,11.1
15,674,14.7
15,793,15.9
